id,jenis_kelamin,senam_ritmik,renang,atletik,cluster,kategori_potensi,pca1,pca2
10751,P,87,90,68,1,Potensi Sedang,0.24671333221584596,0.6353037005534129
10855,P,87,86,84,0,Potensi Tinggi,0.9152527031590761,-0.23835443034046944
10644,L,85,75,58,2,Potensi Rendah,-2.2790981072596392,-1.6605345273459247
10718,P,87,85,88,0,Potensi Tinggi,1.082387545894884,-0.45676896306394005
10645,L,85,75,84,2,Potensi Rendah,-0.5844023188445919,-1.8742500072930535
10609,P,85,86,88,0,Potensi Tinggi,0.7057835589046888,0.1337581973781157
10796,L,80,85,56,1,Potensi Sedang,-2.649062392345171,1.2237372369344897
10758,L,80,85,74,1,Potensi Sedang,-1.4758114619039842,1.0757803662018621
10613,L,80,75,72,2,Potensi Rendah,-2.542048538908677,-0.7631322626567123
10727,L,85,90,74,1,Potensi Sedang,0.16760540245492375,0.9909766759683727
10767,L,80,87,70,1,Potensi Sedang,-1.549358718388669,1.4797301270415526
10660,P,87,87,72,0,Potensi Tinggi,0.22667300244940802,0.04581871159750224
10620,P,85,87,70,1,Potensi Sedang,-0.37387978528537497,0.4672502962269633
10622,P,87,87,88,0,Potensi Tinggi,1.2695627183971294,-0.08569850683150004
10803,L,85,85,74,1,Potensi Sedang,-0.3003325288006901,0.06330053538727273
10733,P,85,85,80,0,Potensi Tinggi,0.09075111467970538,0.013981578476396873
10773,P,85,86,84,0,Potensi Tinggi,0.4450611299177585,0.16663750198536628
10629,P,85,85,82,0,Potensi Tinggi,0.22111232917317056,-0.00245807382722841
10810,P,85,75,74,2,Potensi Rendah,-1.2362083913119177,-1.792051745774927
10877,P,85,88,86,0,Potensi Tinggi,0.7625975169134692,0.5212683059141809
10844,P,85,83,76,0,Potensi Tinggi,-0.3571464868094705,-0.32420957314879256
10846,P,85,87,78,0,Potensi Tinggi,0.14756507268848576,0.40149168701246213
10738,P,85,83,86,0,Potensi Tinggi,0.2946595856578553,-0.406407834666919
10774,P,87,87,74,0,Potensi Tinggi,0.35703421694287313,0.029379059293876953
